Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Watch Dogs 2,PlayStation 4,439,439,"It is what the first one should have been. Three years ago.

The drone is a nice implementation and the overall game is a much better experience than the first one, but driving is still horrible, radio is irrelevant and changing stations muddles the gameplay as it covers the map (pretty stupid design, imo), guns don't really fit the narrative and online is good, but not too far from what we had in the first Watch Dogs and Saints Row 2.

Characters and dialogues make me cringe most of the time and graphics are nothing to write home about. Ubisoft finally got rid of the damn towers in the game, but the gameplay is still somewhat repetitive after just a few hours.

There is also a lot of loading. They are not long, but they are quite a few. It's an interesting purchase if you enjoy the open world type of gaming like myself, but I wouldn't get it for a full price.",7,2016-12-22,renao,False
Pro Evolution Soccer 2019,PlayStation 4,112,112,"The passes in the game are the movements of the players, the artificial intelligence is incredibly bad. When I play the game, only my nerves break down. It is a very very bad game that I do not enjoy. The worst football game I have played in my life.",0,2020-07-20,Cromozan,False
Batman: Arkham Knight,PC,629,500,"Basically a betrayal of all the customers who've pre-ordered it. Battles AC: Unity for buggiest AAA release of recent times, a truly terrible game release. Nvidia gameworks optimized game. Nvidia, rocksteady and 12 person group who did this **** SHAME! SHAME! SHAME!",0,2015-06-24,Oks4nen,False
Spyro Reignited Trilogy,Nintendo Switch,53,53,"Compra obligatoria si jugaste el original de PS1, el arte del juego es muy bonito, la.jugabilidad es exactamente igual al original, el doblaje es de altísima calidad",10,2019-09-04,JeanSalas,False
Never Alone (2014),PlayStation 4,56,56,"Simple platforming and too many clipping issues. Stupid AI. Inconsistent rates of movement.  The game was alright up until the last couple levels until the problems became more apparent. The last two levels were just downright awful and ruined the entire experience for me. If you want to make a game to tell a story, don't try to add so much bad crap that no one wants to play.",5,2015-05-10,Kinokee,False
Batman: Arkham City,PC,441,441,Batman Serisinin 2. oyunu. Sonuçta Batman serisi kalitesiz olma ihtimali mi var. İlk oyunun üstüne de katılan yeniliklerle baya başarılı bir yapım 🅐🅛🅣🅘🅝,8,2024-01-27,dogukansapmz,False
Hollow Knight,PC,628,500,"All gameplay mechanics can be described in one word - metroidvania. It is just a well-maid, balanced mix of platforming and boss fights. The main advantage, which does that game unique, is visual style. Every location is completely different, with its own enemies and atmosphere.
The only thing that scares you from the beginning is map size. I've spent about 100 hours to complete the game.",8,2022-09-05,kyuy,False
Gotham City Impostors,PC,64,64,"I play this game alot, and it is fun. it is kind of silly i guess, but serious at the same time. but both because you can choose either regular weapons, or ridiculous crazy weapons. but it you play this, watch out for people with swords on rollerblades they will piss you off!",8,2012-12-11,RaccoonReviews,False
Sonic Adventure 2,Dreamcast,178,178,One of the best Sonic games to have ever released. And I don't mean that lightly.,10,2022-11-25,KrillerBomb,False
Final Fantasy VII,PlayStation,453,453,"Un gioco che ho amato ma che con il tempo inizia a calarmi. Non per il gioco in sè ma per quello che è diventato, Final Fantasy7 è un ottimo Rpg che bisognerebbe giocare se si è fan del genere, ma che non bisognerebbe andare ad espandere poi. Il gioco originale è molto bello ma i suoi spinoff, sequel o remake hanno macchiato quel universo che una volta era così particolare e finito, e per questo non riesco più a rivederlo sotto la stessa luce di un tempo....",8,2021-02-28,SuperClaudio64,False
The Last of Us Part I,PlayStation 5,1164,500,"This game is a blatant and shameless cash grab by Sony, they call it a remake that was built from the ground up and it's very clear that was a lie. If they want to call this game a remake then I will compare it to other remakes then.

For starters there are no new levels or locations to explore, also there are no new gameplay mechanics or gameplay improvements. The soundtrack is the same with no new tracks or remakes, no new puzzles or items were added. The biggest insult being they said they improved the enemy AI well that was a lie to as it's the same brain dead AI from before. This is the first remake to remove content and in this case they removed the multiplayer. It's extremely likely they will bring it back with a price tag and NG will make zero changes to the multiplayer.

I've never heard **** getting 2 remakes within 10 years that's a first for the industry and both of them **** and are not worth your time or money. This game is nothing more then a $70 texture pack that doesn't look any better then the PS4 version and Sony still expects you to pay them $70 for less content.",0,2022-09-03,ThorCarmine,False
